Lev.YearMonth;Hämtställe;Hämtställe Gatuadress;Hämtställe Ort;Hämtställe Märkning;Artikel;RODkod;RodKodbeskr;EWCkod;Farligt avfall;Kvantitet kg
202301;0178863      Volvo Personvagnar AB (Göteborg);Volvo Jakobs väg;Göteborg;PVH, kundnr: 0178863;3094 Hushållsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;1 850
202301;05190673    Volvo Personvagnar AB (Göteborg);Röra Byväg;Göteborg;CWT2;3160 Träavfall målat, bygg & riv;R1;R1 With energy recovery;170201;NEJ;4 880
202301;05668033    Volvo Personvagnar AB (Göteborg);Tunnelvägen;Göteborg;Project - WPO PV Renovation;3160 Träavfall målat, bygg & riv;R1;R1 With energy recovery;170201;NEJ;520
202301;05314943    Volvo Personvagnar AB (Göteborg);Utrustningsvägen;Göteborg;Project - TUN Etapp 2;3160 Träavfall målat, bygg & riv;R1;R1 With energy recovery;170201;NEJ;1 780
202301;0283077      Volvo Personvagnar AB (Göteborg);PVRS Riskskjul Döda dalen;Göteborg;PV Styckegods Farligt Avfall;3221 Färg-, lack-, limavfall;R1;R1 With energy recovery;080111;JA;622
202301;05358114    Volvo Personvagnar AB (Göteborg);Assar Gabrielssons väg;Göteborg;Byggnad RB;3284 FTI Pappersförp, FNI;R3;R3 Recycled, incl metal scrap;200101;NEJ;60
202301;0283077      Volvo Personvagnar AB (Göteborg);PVRS Riskskjul Döda dalen;Göteborg;PV Styckegods Farligt Avfall;3320 Isocyanater;R1;R1 With energy recovery;080501;JA;40
202301;0447177      Volvo Personvagnar AB (Göteborg);Miljöstation 1;Göteborg;RA 1:an;3601 Träavfall, omålat;R1;R1 With energy recovery;200138;NEJ;35 420
202301;0447177      Volvo Personvagnar AB (Göteborg);Miljöstation 1;Göteborg;RA 1:an;3969 PET/PP Plastband;R13;R13 Recycled, incl metal scrap;200139;NEJ;2 540
202301;0469510      Volvo Personvagnar AB (Göteborg);Miljöstation 2;Göteborg;RA 2:an;3601 Träavfall, omålat;R1;R1 With energy recovery;200138;NEJ;34 460
202301;03879145    Volvo Personvagnar AB (Göteborg);John Bunyans väg 4;Göteborg;PV Byggnad PVÖL;3602 Träavfall, målat;R1;R1 With energy recovery;200138;NEJ;30 000
202301;05336987    Volvo Personvagnar AB (Göteborg);Pressvägen/Väster om TLA;Göteborg;Möbelförråd WPO;3602 Träavfall, målat;R1;R1 With energy recovery;200138;NEJ;2 000
202301;0469510      Volvo Personvagnar AB (Göteborg);Miljöstation 2;Göteborg;RA 2:an;3602 Träavfall, målat;R1;R1 With energy recovery;200138;NEJ;16 720
202301;05456355    Volvo Personvagnar AB (Göteborg);Designvägen;Göteborg;PV Miljö 1;3654 Hushållsavfall för sortering;R1;R1 With energy recovery;200301;NEJ;4 240
202301;0178855      Volvo Personvagnar AB (Göteborg);Gunnar Engellaus väg;Göteborg;VAK, kundnr: 0178855;3654 Hushållsavfall för sortering;R1;R1 With energy recovery;200301;NEJ;1 910
202301;0469510      Volvo Personvagnar AB (Göteborg);Miljöstation 2;Göteborg;RA 2:an;3654 Hushållsavfall för sortering;R1;R1 With energy recovery;200301;NEJ;3 020
202301;0283077      Volvo Personvagnar AB (Göteborg);PVRS Riskskjul Döda dalen;Göteborg;PV Styckegods Farligt Avfall;3752 Lösningsmedel;R1;R1 With energy recovery;140603;JA;244
202301;0283077      Volvo Personvagnar AB (Göteborg);PVRS Riskskjul Döda dalen;Göteborg;PV Styckegods Farligt Avfall;3759 Lösningsmedel, halogent;R1;R1 With energy recovery;070703;JA;27
202301;0447318      Volvo Personvagnar AB (Göteborg);Assar Gabrielssons Väg;Göteborg;RV, Bilar och Tekn.supp, kundnr: 0447318;3905 Brännbart, utsorterat;R1;R1 With energy recovery;191210;NEJ;210
202301;03791647    Volvo Personvagnar AB (Göteborg);Assar Gabrielssons väg 9;Göteborg;Byggnad VB;3905 Brännbart, utsorterat;R1;R1 With energy recovery;191210;NEJ;1 220
202301;05119540    Volvo Personvagnar AB (Göteborg);Gunnar Engellaus väg;Göteborg;VAK Godsmottagning;3905 Brännbart, utsorterat;R1;R1 With energy recovery;191210;NEJ;15
202301;0178855      Volvo Personvagnar AB (Göteborg);Gunnar Engellaus väg;Göteborg;VAK, kundnr: 0178855;3905 Brännbart, utsorterat;R1;R1 With energy recovery;191210;NEJ;180
202301;0469536      Volvo Personvagnar AB (Göteborg);Gunnar Engellaus väg 2;Göteborg;Volvohallen, kundnr: 0469536;3905 Brännbart, utsorterat;R1;R1 With energy recovery;191210;NEJ;200
202301;05122775    Volvo Personvagnar AB (Göteborg);Gustaf Larssons Väg;Göteborg;SAAN;3905 Brännbart, utsorterat;R1;R1 With energy recovery;191210;NEJ;5
202301;0469528      Volvo Personvagnar AB (Göteborg);Gustaf Larssons väg 12;Göteborg;SAA, kundnr: 0469528;3905 Brännbart, utsorterat;R1;R1 With energy recovery;191210;NEJ;400
202301;0447177      Volvo Personvagnar AB (Göteborg);Miljöstation 1;Göteborg;RA 1:an;3905 Brännbart, utsorterat;R1;R1 With energy recovery;191210;NEJ;5 800
202301;03725918    Volvo Personvagnar AB (Göteborg);N/A;Göteborg;TGS  Färglabb;3905 Brännbart, utsorterat;R1;R1 With energy recovery;191210;NEJ;110
202301;01654250    Volvo Personvagnar AB (Göteborg);PVV;Göteborg;PVV, kundnr: 01654250;3905 Brännbart, utsorterat;R1;R1 With energy recovery;191210;NEJ;460
202301;0477745      Volvo Personvagnar AB (Göteborg);SAB;Göteborg;SAB, kundnr: 0477745;3905 Brännbart, utsorterat;R1;R1 With energy recovery;191210;NEJ;700
202301;0469627      Volvo Personvagnar AB (Göteborg);TD;Göteborg;TD, kundnr: 0469627;3905 Brännbart, utsorterat;R1;R1 With energy recovery;191210;NEJ;190
202301;0469619      Volvo Personvagnar AB (Göteborg);TLA;Göteborg;TLA, kundnr: 0469619;3905 Brännbart, utsorterat;R1;R1 With energy recovery;191210;NEJ;210
202301;0469601      Volvo Personvagnar AB (Göteborg);TLE;Göteborg;TLE, kundnr: 0469601;3905 Brännbart, utsorterat;R1;R1 With energy recovery;191210;NEJ;310
202301;0447201      Volvo Personvagnar AB (Göteborg);Tunnelvägen, G5 Förråd 101;Göteborg;PV ÅV GÅRD, kundnr: 0447201;3905 Brännbart, utsorterat;R1;R1 With energy recovery;191210;NEJ;17 390
202301;05336987    Volvo Personvagnar AB (Göteborg);Pressvägen/Väster om TLA;Göteborg;Möbelförråd WPO;3909 Brännbart grovt/överstort;R1;R1 With energy recovery;191210;NEJ;2 100
202301;0447201      Volvo Personvagnar AB (Göteborg);Tunnelvägen, G5 Förråd 101;Göteborg;PV ÅV GÅRD, kundnr: 0447201;3909 Brännbart grovt/överstort;R1;R1 With energy recovery;191210;NEJ;7 350
202301;05295142    Volvo Personvagnar AB (Göteborg);John Bunyans väg;Göteborg;Karosslådor PVLG;3906 Verksamhetsavfall för sortering;R11;R11 Recycled, incl metal scrap;200301;NEJ;33 800
202301;0447177      Volvo Personvagnar AB (Göteborg);Miljöstation 1;Göteborg;RA 1:an;3431 Kontorspapper;R3;R3 Recycled, incl metal scrap;200101;NEJ;1 000
202301;0447177      Volvo Personvagnar AB (Göteborg);Miljöstation 1;Göteborg;RA 1:an;3846 Wellpapp, löst;R3;R3 Recycled, incl metal scrap;200101;NEJ;11 180
202301;05250022    Volvo Personvagnar AB (Göteborg);Parkering PVBL;Göteborg;Batlab Steg 3;3921 Sammansatt avfall, bygg & riv;R11;R11 Recycled, incl metal scrap;170904;NEJ;100
202301;05190673    Volvo Personvagnar AB (Göteborg);Röra Byväg;Göteborg;CWT2;3163 Plast, Bygg och rivning;R11;R11 Recycled, incl metal scrap;170203;NEJ;1 720
202301;05190673    Volvo Personvagnar AB (Göteborg);Röra Byväg;Göteborg;CWT2;3921 Sammansatt avfall, bygg & riv;R11;R11 Recycled, incl metal scrap;170904;NEJ;1 250
202301;0477752      Volvo Personvagnar AB (Göteborg);TLA Norra;Göteborg;Utställningar, kundnr: 0477752;3906 Verksamhetsavfall för sortering;R11;R11 Recycled, incl metal scrap;200301;NEJ;6 950
202301;05668033    Volvo Personvagnar AB (Göteborg);Tunnelvägen;Göteborg;Project - WPO PV Renovation;3921 Sammansatt avfall, bygg & riv;R11;R11 Recycled, incl metal scrap;170904;NEJ;800
202301;05314943    Volvo Personvagnar AB (Göteborg);Utrustningsvägen;Göteborg;Project - TUN Etapp 2;3921 Sammansatt avfall, bygg & riv;R11;R11 Recycled, incl metal scrap;170904;NEJ;700
202301;0178855      Volvo Personvagnar AB (Göteborg);Gunnar Engellaus väg;Göteborg;VAK, kundnr: 0178855;3624 LDPE transparent, obalat;R13;R13 Recycled, incl metal scrap;200139;NEJ;240
202301;05008305    Volvo Personvagnar AB (Göteborg);Volvo RA/Lastplats E8;Göteborg;Kärl kasserad kanalplast PP-Well;3627 PP;R13;R13 Recycled, incl metal scrap;160119;NEJ;4 000
