Lev.YearMonth;HÑmtstÑlle;HÑmtstÑlle Gatuadress;HÑmtstÑlle Ort;HÑmtstÑlle MÑrkning;Artikel;RODkod;RodKodbeskr;EWCkod;Farligt avfall;Kvantitet kg
202301;0468785      Volvo Personvagnar AB (Gîteborg);Volvo Jakobs vÑg 3;Gîteborg;Rest. Hîjden, kundnr: 0468785;3293 FTI Glas fÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;35
202301;04363347    Volvo Personvagnar AB (Gîteborg);Volvo Jakobs VÑg/PVD Norra;Gîteborg;Rest. The Harvest (Volvo PVD);3292 FTI Glas ofÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;10
202301;04363347    Volvo Personvagnar AB (Gîteborg);Volvo Jakobs VÑg/PVD Norra;Gîteborg;Rest. The Harvest (Volvo PVD);3293 FTI Glas fÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;10
202301;0447193      Volvo Personvagnar AB (Gîteborg);N/A;Gîteborg;PVô, kundnr: 0447193;3746 Hydraulolja;R9;R9 Recycled, incl metal scrap;130110;JA;300
202302;0283077      Volvo Personvagnar AB (Gîteborg);PVRS Riskskjul Dîda dalen;Gîteborg;PV Styckegods Farligt Avfall;3023 Alkaliskt avfall flytande;D9;D9 Without energy recovery;200115;JA;1
202302;0283077      Volvo Personvagnar AB (Gîteborg);PVRS Riskskjul Dîda dalen;Gîteborg;PV Styckegods Farligt Avfall;3235 HÑrdare, peroxid;D10;D10 Without energy recovery;160903;JA;19
202302;05249420    Volvo Personvagnar AB (Gîteborg);PV-gatan Batlabs etablering vid PV17;Gîteborg;PV Sprinkler;3506 Asbest, bunden;D1;D1 Landfill;170605;JA;40
202302;04430708    Volvo Personvagnar AB (Gîteborg);John Bunyans vÑg 4;Gîteborg;Skrotning Airbags PVôL;3547 Pyroteknisk utrustning;D10;D10 Without energy recovery;160110;JA;1 038
202302;0283077      Volvo Personvagnar AB (Gîteborg);PVRS Riskskjul Dîda dalen;Gîteborg;PV Styckegods Farligt Avfall;3560 Syror;D9;D9 Without energy recovery;160507;JA;1
202302;0477752      Volvo Personvagnar AB (Gîteborg);TLA Norra;Gîteborg;UtstÑllningar, kundnr: 0477752;3663 Isolering ej Ütervinningsbar;D1;D1 Landfill;170604;NEJ;200
202302;05718234    Volvo Personvagnar AB (Gîteborg);UtrustningsvÑgen TUN;Gîteborg;Projekt TUN laddplatser;3691 Asfalt, bygg & riv;D1;D1 Landfill;170302;NEJ;48 850
202302;0283127      Volvo Personvagnar AB (Gîteborg);N/A;Gîteborg;Byggnad PV 17, kundnr: 0283127;3758 Slam fîr behandling;D10;D10 Without energy recovery;130502;JA;11 680
202302;0468793      Volvo Personvagnar AB (Gîteborg);VAK / Gunnar Engellaus vÑg 8;Gîteborg;The Melting Pot och The Bikery;3904 Verksamhetsavfall till deponi;D1;D1 Landfill;191209;NEJ;5
202302;0476374      Volvo Personvagnar AB (Gîteborg);N/A;Gîteborg;PVS Design, kundnr: 0476374;3916 Avfall till deponi, bygg & riv;D1;D1 Landfill;170904;NEJ;4 800
202302;0469601      Volvo Personvagnar AB (Gîteborg);TLE;Gîteborg;TLE, kundnr: 0469601;3941 Surt avfall, îvrigt;D9;D9 Without energy recovery;160507;JA;7
202302;0283077      Volvo Personvagnar AB (Gîteborg);PVRS Riskskjul Dîda dalen;Gîteborg;PV Styckegods Farligt Avfall;3030 Bensin;R1;R1 With energy recovery;130702;JA;266
202302;05628151    Volvo Personvagnar AB (Gîteborg);AmazonvÑgen;Gîteborg;VHK;3094 HushÜllsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;270
